#node1	node2
PSMB5	SMURF2
PSMB5	AJUBA
PSMB5	LIMD1
PSMB5	TNFRSF12A
PSMB2	NFKBIA
PSMB2	SMURF2
PSMB2	AJUBA
PSMB2	LIMD1
PSMB2	TNFRSF12A
AP2A1	EFNB1
AP2A1	HIP1R
AP2A1	EGF
AP2A1	FNBP1L
AP2A1	DAB2
AP2A1	EPHB3
AP2A1	SYNJ2
AP2A1	AMPH
AP2A1	FZD5
AP2A1	DNM3
AP2A1	ROR2
AP2A1	ITSN1
AP2A1	RDX
AP2A1	AGTR1
GGH	ANPEP
GGH	CPPED1
GGH	CST3
GGH	DBNL
EEF1G	DOCK4
MYL6	MYLK
MYL6	PPP1CB
SEC22B	STX1B
SEC22B	STX7
SEC22B	S100A16
SEC22B	AREG
KRT76	KRT19
TGFB1	TGFBR3
TGFB1	ITGB8
TGFB1	TGFB3
TGFB1	SMURF2
TGFB1	EGF
TGFB1	DAB2
TGFB1	SMAD3
TGFB1	CAV1
TGFB1	TGFBR2
TGFB1	ACVRL1
TGFB1	PPP1CB
TGFB1	NEDD4L
TGFB1	VEGFA
PROS1	TGFB3
PROS1	TYRO3
PROS1	EGF
PROS1	F2R
PROS1	VEGFA
MMP13	MMP7
SPTBN1	TGFB3
SPTBN1	ANK3
SPTBN1	SMAD3
SPTBN1	SCN8A
SPTBN1	ANK2
SPTBN1	TGFBR2
SPTBN1	KIRREL
SPTBN1	NRCAM
THY1	NT5E
THY1	CNTN3
THY1	MCAM
THY1	CD109
THY1	ANPEP
THY1	NTM
THY1	ITGAM
CDH13	CDH1
CDH13	CDH11
NRP1	SEMA7A
NRP1	SEMA4F
NRP1	PLXNB1
NRP1	PLXNA2
NRP1	PLXNA1
NRP1	CDK5
NRP1	VEGFA
GLO1	AOC3
PSMA2	NFKBIA
PSMA2	SMURF2
PSMA2	AJUBA
PSMA2	LIMD1
PSMA2	TNFRSF12A
PDGFRB	EGF
PDGFRB	RASA1
PDGFRB	S1PR1
PDGFRB	SPHK1
PDGFRB	PDGFA
PDGFRB	PLAU
PDGFRB	PIK3CD
PDGFRB	JAK2
PDGFRB	PTPRJ
PDGFRB	DOCK4
PDGFRB	SLC9A3R2
PDGFRB	PDGFC
PDGFRB	PIK3R1
PDGFRB	ANGPT1
PDGFRB	VEGFA
ADH1B	ADH1A
ADH1B	ADH1C
AP1B1	HIP1R
AP1B1	SORT1
AP1B1	DNM3
AP1B1	ITSN1
PSMA5	NFKBIA
PSMA5	SMURF2
PSMA5	AJUBA
PSMA5	LIMD1
PSMA5	TNFRSF12A
ENG	TGFB3
ENG	ACVR2A
ENG	NT5E
ENG	MCAM
ENG	ANPEP
ENG	CAV1
ENG	TGFBR2
ENG	ACVRL1
ENG	VEGFA
C3	BDKRB1
C3	S1PR1
C3	ADCY4
C3	HTR1F
C3	TAS1R1
C3	NPY2R
C3	SSTR2
C3	ADORA1
C3	GNAI3
C3	LPAR1
C3	S1PR3
C3	CPPED1
C3	CST3
C3	AGTR1
C3	ITGAM
C3	BDKRB2
C3	FPR1
ACP1	EPHA2
GOT2	ANPEP
LMNB1	CDK5
KPNB1	SMAD3
UBC	NFKBIA
UBC	HSPB1
UBC	HIP1R
UBC	JAG1
UBC	IRAK2
UBC	NOTCH2
UBC	SMURF2
UBC	AJUBA
UBC	EGF
UBC	FNBP1L
UBC	LRIG1
UBC	LIMD1
UBC	NOTCH1
UBC	TLR3
UBC	DAB2
UBC	PTCH1
UBC	SMAD3
UBC	ZBTB16
UBC	SYNJ2
UBC	AMPH
UBC	TGFBR2
UBC	FZD5
UBC	DLL1
UBC	LGR6
UBC	DNM3
UBC	PTPRK
UBC	IRAK1
UBC	TLR4
UBC	HSPA1A
UBC	LGR4
UBC	ITSN1
UBC	NEDD4L
UBC	AGTR1
UBC	NEDD4
UBC	LMO7
CRLF1	LIFR
CRLF1	IL6ST
CRLF1	JAK2
SFRP2	WNT6
SFRP2	DKK1
PDGFC	EGF
PDGFC	PDGFA
ANP32A	ESR1
CSTB	CST3
CSTB	DBNL
CSF1	CSF1R
CSF1	TEK
CSF1	CST3
FAM20A	CST3
ARCN1	ANK3
ARCN1	ANK2
PSMA1	NFKBIA
PSMA1	SMURF2
PSMA1	AJUBA
PSMA1	LIMD1
PSMA1	TNFRSF12A
PLA2G15	PLB1
ENAH	CDH1
ENAH	BAIAP2
ENAH	RAPH1
IQGAP1	CDH1
IQGAP1	AGTRAP
IQGAP1	KIRREL
IQGAP1	KCNB1
IQGAP1	ITPR2
IQGAP1	KCNS3
IQGAP1	VEGFA
SPTAN1	ANK3
SPTAN1	SCN8A
SPTAN1	ANK2
SPTAN1	KIRREL
SPTAN1	NRCAM
SPTAN1	CST3
SPTAN1	DBNL
NPC2	CPPED1
NPC2	SLC9A3R2
PSMB4	NFKBIA
PSMB4	SMURF2
PSMB4	AJUBA
PSMB4	LIMD1
PSMB4	TNFRSF12A
TGFB2	TGFB3
TGFB2	EGF
TGFB2	SMAD3
TGFB2	TGFBR2
TGFB2	VEGFA
CRK	EFNB1
CRK	IGF1R
CRK	FCGR2A
CRK	PRKCE
CRK	BAIAP2
CRK	EPHA2
CRK	IRS2
CRK	PIK3CD
CRK	SHB
CRK	TEK
CRK	DBNL
CRK	PIK3R1
CRK	ANGPT1
MYH11	MYLK
MYH11	PPP1CB
PSMA4	NFKBIA
PSMA4	SMURF2
PSMA4	AJUBA
PSMA4	LIMD1
PSMA4	TNFRSF12A
ARHGAP1	RASA1
ARHGAP1	RHOJ
ARHGAP1	RHOU
GOT1	ANPEP
DDAH2	VEGFA
