#node1	node2
ADORA1	HEBP1
ADORA1	C5
ADORA1	C3
ADORA1	NT5E
ADORA1	LTBP2
ADORA1	KNG1
ADORA1	APP
ADORA1	ADK
ADORA1	ALB
ADORA1	LTBP3
ADORA1	GNAI2
ADORA1	PENK
ADORA1	AGT
ADORA1	GNG12
ADORA1	GNAS
ADORA1	SPTAN1
ADORA1	ANXA1
ADORA1	CFI
ADORA1	PSAP
ADORA1	CXCL12
ADORA1	SAA1
ADORA1	IL6
ADORA1	LTBP1
ADORA1	AP5B1
ADORA1	GNB1
SLC14A1	ACP1
SLC14A1	ASS1
SLC14A1	CFB
SLC14A1	MDH1
SLC14A1	COPZ1
NTM	MFGE8
NTM	THY1
NTM	CD109
NTM	VNN2
NTM	NEGR1
NTM	ULBP2
NTM	ALPL
NTM	RECK
NTM	PRNP
NTM	LSAMP
NTM	CPM
TNFSF9	NCR3
TNFSF9	PDCD1LG2
TNFSF9	IL6
EGF	DCN
EGF	VAMP3
EGF	KRT14
EGF	TNS1
EGF	VCL
EGF	MAPK1
EGF	HMOX1
EGF	APEX1
EGF	TIMP1
EGF	MMP2
EGF	PPP2CB
EGF	TGFB1
EGF	CDC37
EGF	LAMB1
EGF	PCOLCE
EGF	SERPINE1
EGF	DUSP3
EGF	VTN
EGF	ARPC3
EGF	GAPDH
EGF	MAPK14
EGF	LOX
EGF	SPARC
EGF	APOB
EGF	IGFBP2
EGF	CTSD
EGF	MMP8
EGF	CAT
EGF	CLTA
EGF	SRGN
EGF	TNFAIP6
EGF	C3
EGF	HSPB1
EGF	ISLR
EGF	MEGF8
EGF	KRT5
EGF	APOE
EGF	ACTN4
EGF	PKDREJ
EGF	LGALS3
EGF	GSTM3
EGF	FST
EGF	PDGFRA
EGF	NT5E
EGF	LAMC1
EGF	MMP7
EGF	MMP13
EGF	THBS1
EGF	ADAM10
EGF	GALC
EGF	LMNB1
EGF	PDGFRB
EGF	FAT2
EGF	TIMP2
EGF	ARPC1A
EGF	A1BG
EGF	ACTR3
EGF	EP300
EGF	AP2S1
EGF	LIFR
EGF	LRP2
EGF	MCAM
EGF	GPC1
EGF	KNG1
EGF	RAB7A
EGF	VCAN
EGF	TNC
EGF	NRP1
EGF	TIMP3
EGF	FGF7
EGF	MFGE8
EGF	CDH2
EGF	GALNT1
EGF	KRT10
EGF	RAB5A
EGF	OSMR
EGF	SERPING1
EGF	TENM4
EGF	ATM
EGF	PTS
EGF	ITGA1
EGF	THY1
EGF	OLA1
EGF	APP
EGF	ADAMTS1
EGF	CD109
EGF	AP2M1
EGF	VCAM1
EGF	ARPC5
EGF	FRZB
EGF	POGLUT1
EGF	ARPC2
EGF	ALB
EGF	MASP1
EGF	ANXA5
EGF	EDIL3
EGF	HPRT1
EGF	CRK
EGF	AXL
EGF	ANGPTL4
EGF	PRL
EGF	IGF1
EGF	HSPA4
EGF	FASN
EGF	CTNNA1
EGF	BMP1
EGF	ALCAM
EGF	ARF4
EGF	CYCS
EGF	MMP14
EGF	KRT17
EGF	F2
EGF	PLG
EGF	CLTB
EGF	ADAM17
EGF	CASP3
EGF	LEP
EGF	CLU
EGF	TLN1
EGF	MET
EGF	SNX18
EGF	EEA1
EGF	PKM
EGF	SERPINF2
EGF	A2M
EGF	PPP2R1A
EGF	CSF1
EGF	P4HB
EGF	NOG
EGF	CTHRC1
EGF	GAS6
EGF	CFD
EGF	LAMP1
EGF	HSP90AA1
EGF	HIP1
EGF	ANG
EGF	CAV1
EGF	PTPN11
EGF	PTN
EGF	SLPI
EGF	CTNNB1
EGF	CTSB
EGF	ANXA2
EGF	PDGFA
EGF	FN1
EGF	COL18A1
EGF	UBE2I
EGF	SREBF1
EGF	RAC1
EGF	RSPO1
EGF	ADAM15
EGF	IGF2R
EGF	UBE2D3
EGF	ACTB
EGF	ELN
EGF	AP2A1
EGF	TFRC
EGF	MSN
EGF	STAT1
EGF	TGM2
EGF	AGT
EGF	THBS2
EGF	TGFB2
EGF	EZR
EGF	VIP
EGF	QSOX1
EGF	F5
EGF	HDGF
EGF	PTPRK
EGF	LMNA
EGF	IL6R
EGF	ADAM12
EGF	S100A7
EGF	FLG
EGF	S100A10
EGF	HSP90AB1
EGF	YBX1
EGF	SDC4
EGF	PLAU
EGF	ENG
EGF	DKK1
EGF	TXN
EGF	HSPG2
EGF	ALPL
EGF	F10
EGF	POFUT1
EGF	ITGBL1
EGF	CTTN
EGF	ANXA1
EGF	STAM
EGF	ACTR2
EGF	AGRN
EGF	PRNP
EGF	POSTN
EGF	RPS6
EGF	IGFBP3
EGF	TH
EGF	FSCN1
EGF	GRB2
EGF	PDGFD
EGF	PICALM
EGF	G6PD
EGF	PROS1
EGF	ACTN1
EGF	ALDOA
EGF	AFP
EGF	CXCL12
EGF	MPRIP
EGF	ITGB1
EGF	WNT5B
EGF	GXYLT1
EGF	CTNND1
EGF	CDC42
EGF	RDX
EGF	C1S
EGF	MDK
EGF	IL6
EGF	TF
EGF	AGFG1
EGF	ACAN
EGF	ARPC4
EGF	ADIPOQ
EGF	IDH1
EGF	IGF2
EGF	NECAP2
EGF	FGFR1
EGF	EPS15L1
EGF	AHSG
EGF	CD44
EGF	RHOA
EGF	PSMC6
EGF	EPN1
EGF	FNBP1
EGF	SERPINE2
EGF	CDKN2A
EGF	ADAM9
EGF	PDGFC
EGF	ANGPT1
EGF	HSPA8
EGF	FAT3
EGF	CFL1
EGF	ENO2
EGF	CALU
EGF	C1R
EGF	CLTCL1
EGF	UBC
EGF	VIM
EGF	RAB5C
