#node1	node2
SMAD3	FN1
SMAD3	SPTBN1
SMAD3	UBE2D3
SMAD3	PARP1
SMAD3	TGFB2
SMAD3	RBBP4
SMAD3	SIN3A
SMAD3	FKBP1A
SMAD3	STRAP
SMAD3	PTPN13
SMAD3	CBFB
SMAD3	CDKN2A
SMAD3	HSPA8
SMAD3	UBC
JAG1	ADAM10
JAG1	ADAM17
JAG1	MFAP5
JAG1	UBC
NEDD4L	RBX1
NEDD4L	TGFB1
NEDD4L	SKP1
NEDD4L	UBE2M
NEDD4L	HECW2
NEDD4L	UBE2K
NEDD4L	USP15
NEDD4L	UBE2L6
NEDD4L	UBE2N
NEDD4L	CHMP6
NEDD4L	UBA1
NEDD4L	UBE2V1
NEDD4L	HUWE1
NEDD4L	UBE2H
NEDD4L	UBE2D3
NEDD4L	UCHL5
NEDD4L	VTA1
NEDD4L	UBE2A
NEDD4L	VPS28
NEDD4L	UBE2G1
NEDD4L	XPO1
NEDD4L	STRAP
NEDD4L	UBE2L3
NEDD4L	PDCD6IP
NEDD4L	UBE2V2
NEDD4L	UBC
ANK3	YKT6
ANK3	COPB1
ANK3	ARF3
ANK3	DCTN3
ANK3	COPE
ANK3	CAPZA1
ANK3	NAPA
ANK3	ARCN1
ANK3	DCTN5
ANK3	TMED10
ANK3	ARF4
ANK3	RAB1B
ANK3	SPTBN5
ANK3	COPG1
ANK3	COPB2
ANK3	TMED9
ANK3	NFASC
ANK3	DYNC1H1
ANK3	SPTBN1
ANK3	DCTN1
ANK3	CAPZA2
ANK3	COPA
ANK3	SPTAN1
ANK3	NRCAM
ANK3	DYNLL1
ANK3	CD59
ANK3	NSF
ANK3	RAB1A
ANK3	COG6
ANK3	CD44
ANK3	CAPZB
ANK3	DCTN2
ANK3	SPTBN2
ANK3	USO1
ANK3	COPZ1
CTLA4	PPP2CB
CTLA4	ITGAV
CTLA4	ITGA1
CTLA4	PPP2R1A
CTLA4	PTPN11
CTLA4	ITGB1
CTLA4	PDCD1LG2
CTLA4	CBFB
RGS4	GNAI2
TGM1	DSG1
TGM1	DSC1
TGM1	CSTA
TGM1	SPRR2E
TGM1	FLG
TGM1	DSP
TGM1	JUP
TGM1	CASP14
ANK2	YKT6
ANK2	COPB1
ANK2	ARF3
ANK2	DCTN3
ANK2	COPE
ANK2	CAPZA1
ANK2	NAPA
ANK2	ARCN1
ANK2	DCTN5
ANK2	TMED10
ANK2	ARF4
ANK2	RAB1B
ANK2	SPTBN5
ANK2	COPG1
ANK2	COPB2
