#node1	node2
ALB	ANPEP
ALB	CTLA4
ALB	GLUL
ALB	SPHK1
ALB	ANGPT2
ALB	F2R
ALB	SMAD3
ALB	F3
ALB	CAV1
ALB	ADD3
ALB	FUT4
ALB	MYLK
ALB	DMD
ALB	KRT19
ALB	DLL1
ALB	ADORA1
ALB	IL6R
ALB	ABCC2
ALB	PLAU
ALB	TLR4
ALB	AR
ALB	HSPA1A
ALB	PODXL
ALB	XK
ALB	CD83
ALB	TEK
ALB	JAK2
ALB	GAP43
ALB	SYNPO
ALB	MBP
ALB	CST3
ALB	IL1R1
ALB	ESR1
ALB	FGFR2
ALB	AGTR1
ALB	CDK5
ALB	CD200
ALB	ANGPT1
ALB	CASP1
ALB	CRYAB
ALB	ITGAM
ALB	ABCB1
ALB	VEGFA
CHI3L1	SEMA7A
CHI3L1	VEGFA
BGN	TGFBR3
BGN	TGFB3
BGN	CDH11
BGN	SPHK1
BGN	TLR4
BGN	VEGFA
EMILIN1	ITGA3
EMILIN1	ITGB4
EMILIN1	ITGB8
EMILIN1	ITGB7
EMILIN1	ITGA5
EMILIN1	CTLA4
EMILIN1	ITGA10
EMILIN1	NCAM2
EMILIN1	ITGAM
HSPG2	TGFBR3
HSPG2	MMP15
HSPG2	HBEGF
HSPG2	LIFR
HSPG2	EGF
HSPG2	NRP1
HSPG2	ITGA5
HSPG2	PDGFA
HSPG2	DMD
HSPG2	CST3
HSPG2	VEGFA
MMP2	TNS1
MMP2	EFNB1
MMP2	HBEGF
MMP2	TGFB3
MMP2	HSPB1
MMP2	MMP7
MMP2	CDH1
MMP2	MCAM
MMP2	EGF
MMP2	IGF1R
MMP2	CDH11
MMP2	NOTCH1
MMP2	TJP1
MMP2	ITGA5
MMP2	VCAM1
MMP2	CLDN1
MMP2	TNFRSF11B
MMP2	ANGPT2
MMP2	F2R
MMP2	EPHB3
MMP2	SMAD3
MMP2	F3
MMP2	CAV1
MMP2	PDGFA
MMP2	EPHA2
MMP2	MYOF
MMP2	KRT19
MMP2	ADAM12
MMP2	PLAU
MMP2	TLR4
MMP2	AR
MMP2	TEK
MMP2	JAK2
MMP2	ESR1
MMP2	AGTR1
MMP2	ANGPT1
MMP2	ITGAM
MMP2	VEGFA
CFH	CORIN
CFH	CSF1R
CFH	VCAM1
CFH	PLEKHA1
CFH	TLR4
CFH	PTPRJ
CFH	ITGAM
CFH	FPR1
CFH	VEGFA
CST3	CPPED1
CST3	DBNL
CST3	VEGFA
GAS6	TGFB3
GAS6	CDH1
GAS6	TYRO3
GAS6	EGF
GAS6	CST3
GAS6	VEGFA
